created_at,name,username,followers_count,following_count,tweet_count,listed_count,description,location,verified,pol_party
2016-11-29 20:16:39+00:00,Vice President,VP,11795528,6,6972,15163,Vice President of the United States. Wife to the first @SecondGentleman. Momala. Auntie. Fighting for the people.,,True,Republicans
2016-01-29 00:37:08+00:00,President,POTUS,16242535,12,2175,14584,"46th President of the United States, husband to @FLOTUS, proud dad & pop. Tweets may be archived: https://t.co/IURuMIrzxb",,True,Republicans
2017-01-10 20:02:44+00:00,Vice President Mike Pence Archived,VP45,10045919,14,9385,12773,"This is an archive of a Trump Administration account, maintained by the National Archives and Records Administration.","Washington, D.C.",True,Republicans
2007-03-11 17:51:24+00:00,Joe Biden,JoeBiden,32044976,48,7849,37763,"Husband to @DrBiden, proud father and grandfather. Ready to build back better for all Americans. Official account is @POTUS.","Washington, DC",True,Democrats
2009-04-11 00:42:07+00:00,Kamala Harris,KamalaHarris,19095700,733,16253,26480,"Fighting for the people. Wife, Momala, Auntie. She/her. Official account is @VP.","Washington, DC",True,Democrats
2009-02-27 23:04:51+00:00,Mike Pence,Mike_Pence,5882326,59,14006,11755,"Husband, father, 48th Vice President of the United States ðŸ‡ºðŸ‡¸",,True,Republicans
2008-04-13 20:23:13+00:00,The Democrats,TheDemocrats,2181227,73,36241,12410,"Weâ€™re fighting for a better, fairer, and brighter future for every American. Together, we can build back better.","Washington, D.C.",True,Democrats
2008-06-23 14:41:52+00:00,House Republicans,HouseGOP,1134115,786,38090,7550,We are the Republican Conference in the United States House of Representatives ðŸ‡ºðŸ‡¸,"Washington, DC",True,Republicans
2009-03-18 00:00:00+00:00,Donald J. Trump,realdonaldtrump,88936841,51,59553,119472,,"Washington, DC",True,Republicans
2007-12-13 17:15:41+00:00,GOP,GOP,2772311,1621,47781,11449,Text FREEDOM to 80810 to receive exclusive updates from the Republican National Committee!,,True,Republicans